transformed_feature,coefficient,odds_ratio,absolute_coefficient
categorical__material_PVC,-2.120276969052087,0.11999838806858693,2.120276969052087
categorical__pressure_zone_RAW NO ZONE,-1.887971796690692,0.1513785241143246,1.887971796690692
categorical__material_CPP,-1.746385291458031,0.17440322225275234,1.746385291458031
categorical__material_PVCO,-1.2379444449694421,0.28997967491162135,1.2379444449694421
categorical__pressure_zone_KIT 2E,-0.9182035921332343,0.39923558723685076,0.9182035921332343
categorical__material_HDPE,-0.6496703238431654,0.5222179111791381,0.6496703238431654
categorical__pressure_zone_KIT 2EA,-0.47711675145666166,0.6205700726038704,0.47711675145666166
numeric__pipe_size,-0.4687896917181432,0.6257591716549971,0.4687896917181432
numeric__length_m,0.45262699730970407,1.57243755367532,0.45262699730970407
categorical__pressure_zone_KIT 4A,-0.4508921547548997,0.6370595423159089,0.4508921547548997
categorical__pressure_zone_KIT 6,-0.4112124112828979,0.6628461206514882,0.4112124112828979
categorical__pressure_zone_KIT 2W,-0.39284635872607626,0.6751324678304987,0.39284635872607626
categorical__material_AC,0.34492312412682735,1.4118813758819262,0.34492312412682735
categorical__material_CI,0.331015724045135,1.392381686008541,0.331015724045135
categorical__pressure_zone_KIT 5,-0.32908038011167307,0.7195851740857555,0.32908038011167307
categorical__material_PVCB,-0.24501835023134513,0.7826901755642962,0.24501835023134513
categorical__pressure_zone_WAT 4,-0.22088218243014973,0.8018111421657005,0.22088218243014973
categorical__pressure_zone_KIT 4,-0.1982107712651092,0.8201969609670186,0.1982107712651092
numeric__age_years,0.1739732420512329,1.1900237228005313,0.1739732420512329
numeric__had_prior_break,0.15077139455034955,1.1627308210949072,0.15077139455034955
numeric__missingindicator_years_since_last_break,-0.15077139454993285,0.8600442869990735,0.15077139454993285
categorical__material_COP,0.1332518157873963,1.1425376711323838,0.1332518157873963
categorical__material_PVCF,-0.11093227519822484,0.8949993605308343,0.11093227519822484
categorical__material_DI,-0.10383638679557287,0.901372761843261,0.10383638679557287
categorical__material_ST,-0.09729799815525669,0.9072855964104531,0.09729799815525669
categorical__pressure_zone_BRIDGEPORT,-0.08893614298553768,0.9149039947467555,0.08893614298553768
numeric__past_break_count,0.07131047688081121,1.0739145997684287,0.07131047688081121
categorical__pressure_zone_BRESLAU NORTH,-0.059942546702395134,0.9418186426166267,0.059942546702395134
categorical__pressure_zone_BRESLAU SOUTH,-0.056388092787019325,0.9451722501693686,0.056388092787019325
numeric__years_since_last_break,-0.034356498620663464,0.9662269846434309,0.034356498620663464
numeric__breaks_last_3y,-0.025309307197650052,0.9750082883022023,0.025309307197650052
categorical__material_HDPE IN CI,-0.01642899548971882,0.9837052244187079,0.01642899548971882
categorical__pressure_zone_CAM 1,-0.01440981450145476,0.9856935099845819,0.01440981450145476
numeric__missingindicator_pipe_size,-0.009168594566739222,0.9908733088335411,0.009168594566739222
categorical__pressure_zone_MANNHEIM,-0.004760133309073931,0.9952511781703188,0.004760133309073931
categorical__pressure_zone_BRESLAU,-0.004378217292138097,0.9956313531289683,0.004378217292138097
categorical__pressure_zone_CAM 2W,-0.0033690248090897405,0.9966366439871005,0.0033690248090897405
