asset_id,driver_rank,feature,feature_value,risk_contribution_log_time,direction
10080,1,length_m,34.2106,-0.8852115869522095,reduces risk
10080,2,pipe_size,450,-0.8636459112167358,reduces risk
10080,3,pressure_zone,KIT 6,-0.2847299448258127,reduces risk
76299,1,length_m,0.355118,-1.734007477760315,reduces risk
76299,2,pipe_size,300,-0.3742165267467499,reduces risk
76299,3,age_years,57.5043,0.3199268877506256,raises risk
10110,1,pipe_size,450,-0.9743516445159912,reduces risk
10110,2,past_break_count,1,0.40220075845718384,raises risk
10110,3,pressure_zone,KIT 6,-0.2903215946898854,reduces risk
82566,1,length_m,7.03933,-0.4511375427246094,reduces risk
82566,2,pipe_size,450,-0.33092647790908813,reduces risk
82566,3,pressure_zone,KIT 6,-0.262909879678773,reduces risk
82568,1,pipe_size,450,-0.843865692615509,reduces risk
82568,2,length_m,14.9561,-0.5012872219085693,reduces risk
82568,3,pressure_zone,KIT 6,-0.2731103871992673,reduces risk
10090,1,pipe_size,450,-0.934631884098053,reduces risk
10090,2,pressure_zone,KIT 6,-0.30556101985712303,reduces risk
10090,3,length_m,38.5269,-0.2722381055355072,reduces risk
82570,1,length_m,12.452,-0.6223872900009155,reduces risk
82570,2,pipe_size,450,-0.3295745849609375,reduces risk
82570,3,pressure_zone,KIT 6,-0.2938737285367097,reduces risk
10030,1,pipe_size,450,-0.85057133436203,reduces risk
10030,2,length_m,124.97,0.23929361999034882,raises risk
10030,3,age_years,47.0016,-0.17127062380313873,reduces risk
10100,1,pipe_size,450,-0.8908827900886536,reduces risk
10100,2,length_m,55.6716,-0.370002418756485,reduces risk
10100,3,pressure_zone,KIT 6,-0.3284753195985104,reduces risk
81620,1,age_years,10.9872,-1.064714789390564,reduces risk
81620,2,pressure_zone,KIT 2W,-0.7094640437608177,reduces risk
81620,3,material,PVC,-0.5199943903462554,reduces risk
60080,1,material,PVC,-0.3689725726908364,reduces risk
60080,2,age_years,28.3346,-0.2274070531129837,reduces risk
60080,3,pipe_size,300,-0.2085614651441574,reduces risk
61904,1,pressure_zone,KIT 2W,-0.3964369371497014,reduces risk
61904,2,length_m,141.533,0.18392249941825867,raises risk
