source_file,source_row_number,raw__source_object_id,source_object_id,raw__asset_id,asset_id,raw__status,status,raw__pressure_zone,pressure_zone,raw__road_segment_id,road_segment_id,raw__map_label,map_label,raw__category,category,raw__pipe_size,pipe_size,raw__material,material,raw__lined,lined,raw__lined_date,lined_date,raw__lined_material,lined_material,raw__installation_date,installation_date,raw__acquisition,acquisition,raw__consultant,consultant,raw__ownership,ownership,raw__bridge_main,bridge_main,raw__bridge_details,bridge_details,raw__criticality,criticality,raw__rel_cleaning_area,rel_cleaning_area,raw__rel_cleaning_subarea,rel_cleaning_subarea,raw__undersized,undersized,raw__shallow_main,shallow_main,raw__condition_score,condition_score,raw__oversized,oversized,raw__cleaned,cleaned,raw__length_m,length_m,invalid_primary_key,invalid_pipe_size,model_asset_eligible
Water_Mains_5473643541506873803.csv,2,77753,77753,10080,10080,ACTIVE,ACTIVE,KIT 6,KIT 6,5457,5457,34.2m 450mm  DI,34.2m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,6,6,6,6,8,8,N,N,N,N,8.5,8.5,N,N,N,N,34.2105629728948,34.2105629729,False,False,True
Water_Mains_5473643541506873803.csv,3,77754,77754,76299,76299,ACTIVE,ACTIVE,KIT 4,KIT 4,6390,6390,.4m 300mm  DI,.4m 300mm  DI,TREATED,TREATED,300,300,DI,DI,NO,NO,,,NONE,NONE,7/1/1968 12:00:00 AM,1968-07-01T00:00:00,PURCHASED,PURCHASED,,,REGION,REGION,N,N,,,7,7,1,1,4,4,N,N,N,N,8.5,8.5,N,N,N,N,0.355117671105161,0.355117671105,False,False,True
Water_Mains_5473643541506873803.csv,4,77755,77755,10110,10110,ACTIVE,ACTIVE,KIT 6,KIT 6,5393,5393,67.9m 450mm  DI,67.9m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,7,7,6,6,8,8,N,N,N,N,6.1,6.1,N,N,Y,Y,67.852910448331,67.8529104483,False,False,True
Water_Mains_5473643541506873803.csv,5,77756,77756,82566,82566,ACTIVE,ACTIVE,KIT 6,KIT 6,5393,5393,7m 450mm  DI,7m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,6,6,6,6,8,8,N,N,N,N,4.58,4.58,N,N,Y,Y,7.03932838683089,7.03932838683,False,False,True
Water_Mains_5473643541506873803.csv,6,77757,77757,82568,82568,ACTIVE,ACTIVE,KIT 6,KIT 6,5394,5394,15m 450mm  DI,15m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,6,6,6,6,8,8,N,N,N,N,8.5,8.5,N,N,Y,Y,14.956130761421,14.9561307614,False,False,True
Water_Mains_5473643541506873803.csv,7,77758,77758,10090,10090,ACTIVE,ACTIVE,KIT 6,KIT 6,5402,5402,38.5m 450mm  DI,38.5m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,6,6,6,6,8,8,N,N,N,N,8.5,8.5,N,N,Y,Y,38.5268909037991,38.5268909038,False,False,True
Water_Mains_5473643541506873803.csv,8,77759,77759,82570,82570,ACTIVE,ACTIVE,KIT 6,KIT 6,21108,21108,12.5m 450mm  DI,12.5m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,6,6,6,6,7,7,N,N,N,N,8.5,8.5,N,N,N,N,12.4519639246543,12.4519639247,False,False,True
Water_Mains_5473643541506873803.csv,9,77760,77760,10030,10030,ACTIVE,ACTIVE,KIT 6,KIT 6,21108,21108,125m 450mm  DI,125m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,7,7,6,6,7,7,N,N,N,N,8.5,8.5,N,N,N,N,124.970064901045,124.970064901,False,False,True
Water_Mains_5473643541506873803.csv,10,77761,77761,10100,10100,ACTIVE,ACTIVE,KIT 6,KIT 6,5396,5396,55.7m 450mm  DI,55.7m 450mm  DI,TREATED,TREATED,450,450,DI,DI,NO,NO,,,NONE,NONE,1/1/1979 12:00:00 AM,1979-01-01T00:00:00,DONATED,DONATED,,,DUAL CITY AND REGION,DUAL CITY AND REGION,N,N,,,6,6,6,6,8,8,N,N,N,N,8.5,8.5,N,N,Y,Y,55.671581169996,55.67158117,False,False,True
Water_Mains_5473643541506873803.csv,11,77762,77762,81620,81620,ACTIVE,ACTIVE,KIT 2W,KIT 2W,102861,102861,63.9m 300mm  PVC,63.9m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,1/6/2015 12:00:00 AM,2015-01-06T00:00:00,PURCHASED,PURCHASED,MTE CONSULTANTS INC.,MTE CONSULTANTS INC.,KITCHENER,KITCHENER,N,N,,,0,0,5,5,46,46,N,N,N,N,9.35,9.35,N,N,N,N,63.9485848398879,63.9485848399,False,False,True
