issue_id,table,source_file,source_row_number,record_id,asset_id,field,issue_code,severity,raw_value,reason,action
DQ000001,assets,Water_Mains_5473643541506873803.csv,1761,80910,80910,lined_date,lined_date_missing,warning,,Pipe marked lined but no lining date,Do not use lining fields in historical model
DQ000002,assets,Water_Mains_5473643541506873803.csv,3359,23430,23430,lined_date,lined_date_missing,warning,,Pipe marked lined but no lining date,Do not use lining fields in historical model
DQ000003,assets,Water_Mains_5473643541506873803.csv,9968,23410,23410,lined_date,lined_date_missing,warning,,Pipe marked lined but no lining date,Do not use lining fields in historical model
DQ000004,assets,Water_Mains_5473643541506873803.csv,11415,23440,23440,lined_date,lined_date_missing,warning,,Pipe marked lined but no lining date,Do not use lining fields in historical model
DQ000005,assets,Water_Mains_5473643541506873803.csv,12204,97274,97274,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000006,assets,Water_Mains_5473643541506873803.csv,12205,97276,97276,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000007,assets,Water_Mains_5473643541506873803.csv,12206,97278,97278,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000008,assets,Water_Mains_5473643541506873803.csv,12207,97286,97286,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000009,assets,Water_Mains_5473643541506873803.csv,12208,97288,97288,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000010,assets,Water_Mains_5473643541506873803.csv,12209,97290,97290,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000011,assets,Water_Mains_5473643541506873803.csv,12210,97292,97292,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000012,assets,Water_Mains_5473643541506873803.csv,12211,97280,97280,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000013,assets,Water_Mains_5473643541506873803.csv,12212,97282,97282,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000014,assets,Water_Mains_5473643541506873803.csv,12213,97284,97284,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000015,assets,Water_Mains_5473643541506873803.csv,12214,97312,97312,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000016,assets,Water_Mains_5473643541506873803.csv,12215,97314,97314,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000017,assets,Water_Mains_5473643541506873803.csv,12216,97316,97316,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
DQ000018,assets,Water_Mains_5473643541506873803.csv,12217,97318,97318,criticality,default_minus_one,warning,-1,-1 is a default/unknown score,Set normalized value missing; retain raw value
