asset_id,as_of_date,age_years,material,pipe_size,length_m,pressure_zone,past_break_count,breaks_last_3y,years_since_last_break,had_prior_break,break_next_12m,split
1000,2015-01-01T00:00:00,36.3347638897,DI,300,261.386565936,KIT 4,0,0,,0,0,train
10010,2015-01-01T00:00:00,52.0010677837,CI,200,206.512768655,KIT 4,0,0,,0,0,train
10020,2015-01-01T00:00:00,52.0010677837,CI,200,162.540188862,KIT 4,1,0,11.8003792001,1,0,train
10030,2015-01-01T00:00:00,36.0007392349,DI,450,124.970064901,KIT 6,0,0,,0,0,train
10040,2015-01-01T00:00:00,36.0007392349,DI,450,34.2968744358,KIT 6,0,0,,0,0,train
10050,2015-01-01T00:00:00,36.7536636618,DI,450,79.8312733022,KIT 6,0,0,,0,0,train
10060,2015-01-01T00:00:00,36.7536636618,DI,450,94.3222894635,KIT 6,0,0,,0,0,train
10070,2015-01-01T00:00:00,36.7536636618,DI,450,134.085282231,KIT 6,0,0,,0,0,train
10080,2015-01-01T00:00:00,36.0007392349,DI,450,34.2105629729,KIT 6,0,0,,0,0,train
10090,2015-01-01T00:00:00,36.0007392349,DI,450,38.5268909038,KIT 6,0,0,,0,0,train
1010,2015-01-01T00:00:00,36.3347638897,DI,300,25.1479019212,KIT 4,0,0,,0,0,train
10100,2015-01-01T00:00:00,36.0007392349,DI,450,55.67158117,KIT 6,0,0,,0,0,train
10110,2015-01-01T00:00:00,36.0007392349,DI,450,67.8529104483,KIT 6,1,1,1.04314256966,1,0,train
10120,2015-01-01T00:00:00,36.7536636618,DI,450,209.215636791,KIT 6,0,0,,0,0,train
10130,2015-01-01T00:00:00,36.7536636618,DI,300,201.362636453,KIT 5,0,0,,0,0,train
10140,2015-01-01T00:00:00,39.0014853146,DI,300,47.6465117312,KIT 5,0,0,,0,0,train
10150,2015-01-01T00:00:00,39.0014853146,DI,300,121.271684552,KIT 5,0,0,,0,0,train
10160,2015-01-01T00:00:00,39.0014853146,DI,300,307.83830841,KIT 5,0,0,,0,0,train
10170,2015-01-01T00:00:00,39.0014853146,DI,300,44.4812361502,KIT 5,0,0,,0,0,train
10180,2015-01-01T00:00:00,39.0014853146,DI,300,33.7253057119,KIT 5,0,0,,0,0,train
10190,2015-01-01T00:00:00,35.0014031773,DI,150,183.321803371,KIT 6,0,0,,0,0,train
10200,2015-01-01T00:00:00,29.5858231175,DI,150,116.209676158,KIT 4,0,0,,0,0,train
10250,2015-01-01T00:00:00,41.5039323189,DI,300,130.058504806,KIT 4,0,0,,0,0,train
10260,2015-01-01T00:00:00,41.5039323189,DI,300,47.135239346,KIT 4,0,0,,0,0,train
10270,2015-01-01T00:00:00,41.5039323189,DI,300,65.585586659,KIT 4,0,0,,0,0,train
10280,2015-01-01T00:00:00,41.5039323189,DI,300,83.0966001414,KIT 4,0,0,,0,0,train
10290,2015-01-01T00:00:00,41.9994934872,DI,300,5.35170824818,KIT 4,0,0,,0,0,train
1040,2015-01-01T00:00:00,44.0009035093,DI,150,159.332793128,KIT 2W,0,0,,0,0,train
10440,2015-01-01T00:00:00,22.3550107121,DI,300,53.6778373954,KIT 4,0,0,,0,0,train
10460,2015-01-01T00:00:00,55.0018138634,CI,450,118.44289211,KIT 4,0,0,,0,0,train
10470,2015-01-01T00:00:00,41.0001574297,DI,450,85.0310547568,KIT 4,0,0,,0,0,train
10480,2015-01-01T00:00:00,111.002963784,CI,150,53.0235670128,KIT 4,0,0,,0,0,train
1050,2015-01-01T00:00:00,44.0009035093,DI,150,203.891097321,KIT 2W,0,0,,0,0,train
10520,2015-01-01T00:00:00,41.0001574297,CI,150,28.9496538122,KIT 4,0,0,,0,1,train
10560,2015-01-01T00:00:00,33.9993292128,DI,300,182.254261348,BRIDGEPORT,1,1,0.684476751747,1,0,train
1060,2015-01-01T00:00:00,44.0009035093,DI,150,92.6933261142,KIT 2W,0,0,,0,0,train
10620,2015-01-01T00:00:00,85.001060939,CI,150,94.7454965784,KIT 4,0,0,,0,0,train
10630,2015-01-01T00:00:00,83.0023888239,CI,150,6.82480123747,KIT 4,0,0,,0,0,train
10640,2015-01-01T00:00:00,85.001060939,CI,150,137.143620397,KIT 4,0,0,,0,0,train
10670,2015-01-01T00:00:00,60.0012320582,CI,150,83.0671081788,KIT 4,0,0,,0,0,train
10680,2015-01-01T00:00:00,60.0012320582,CI,150,38.6116374268,KIT 4,0,0,,0,0,train
10690,2015-01-01T00:00:00,60.0012320582,CI,150,106.139391495,KIT 4,1,0,4.04115074232,1,0,train
10700,2015-01-01T00:00:00,53.9997398988,CI,150,204.502435481,KIT 4,0,0,,0,0,train
10730,2015-01-01T00:00:00,65.9999863105,CI,150,159.186747999,KIT 4,0,0,,0,0,train
10760,2015-01-01T00:00:00,41.0001574297,DI,150,32.6537395831,KIT 2W,0,0,,0,0,train
10770,2015-01-01T00:00:00,28.58648706,DI,150,94.9023495686,KIT 4,0,0,,0,0,train
10790,2015-01-01T00:00:00,39.7735750905,DI,150,175.164517768,KIT 5,0,0,,0,0,train
1080,2015-01-01T00:00:00,68.0013963326,CI,150,132.879435362,KIT 4,0,0,,0,0,train
10800,2015-01-01T00:00:00,41.0001574297,DI,300,46.2702788624,KIT 5,0,0,,0,0,train
10810,2015-01-01T00:00:00,41.0001574297,DI,300,123.983988748,KIT 5,0,0,,0,0,train
10820,2015-01-01T00:00:00,41.0001574297,DI,300,69.3211487464,KIT 5,0,0,,0,0,train
10830,2015-01-01T00:00:00,41.0001574297,DI,300,111.704167547,KIT 5,0,0,,0,0,train
10840,2015-01-01T00:00:00,41.0001574297,DI,300,153.12905591,KIT 5,0,0,,0,0,train
10850,2015-01-01T00:00:00,41.0001574297,DI,300,64.8534426503,KIT 5,0,0,,0,0,train
10860,2015-01-01T00:00:00,45.9995756244,DI,150,101.87328778,KIT 2W,0,0,,0,0,train
10870,2015-01-01T00:00:00,39.0014853146,DI,150,138.35502135,KIT 2W,0,0,,0,0,train
10890,2015-01-01T00:00:00,48.0009856465,DI,200,42.2443011723,KIT 4,0,0,,0,0,train
1090,2015-01-01T00:00:00,28.0005749605,DI,150,163.610080393,KIT 4,0,0,,0,0,train
10900,2015-01-01T00:00:00,47.5054244783,DI,200,87.1305349107,KIT 4,0,0,,0,1,train
10910,2015-01-01T00:00:00,47.5054244783,DI,200,4.56806742536,KIT 4,0,0,,0,0,train
10920,2015-01-01T00:00:00,48.0009856465,DI,200,74.5206023462,KIT 4,0,0,,0,0,train
10930,2015-01-01T00:00:00,48.0009856465,CI,200,87.1348136054,KIT 4,0,0,,0,0,train
10940,2015-01-01T00:00:00,48.0009856465,CI,200,90.170371832,KIT 4,1,0,7.87695845911,1,0,train
1100,2015-01-01T00:00:00,49.9996577616,CI,150,207.543316836,KIT 4,1,0,6.78727147032,1,0,train
11010,2015-01-01T00:00:00,65.0006502529,CI,300,95.7697792841,KIT 4,0,0,,0,0,train
11030,2015-01-01T00:00:00,65.9999863105,CI,300,105.858091525,KIT 4,2,1,0.813158381076,1,0,train
11080,2015-01-01T00:00:00,65.9999863105,CI,300,146.870666391,KIT 4,0,0,,0,0,train
11090,2015-01-01T00:00:00,65.9999863105,CI,300,8.02879012457,KIT 4,0,0,,0,0,train
1110,2015-01-01T00:00:00,52.0010677837,CI,150,200.04160357,KIT 4,0,0,,0,0,train
11110,2015-01-01T00:00:00,22.9162816485,DI,300,83.977124712,KIT 5,0,0,,0,0,train
11120,2015-01-01T00:00:00,22.9162816485,DI,300,155.01580834,KIT 5,0,0,,0,0,train
11130,2015-01-01T00:00:00,22.9162816485,DI,300,152.609109454,KIT 5,0,0,,0,0,train
11140,2015-01-01T00:00:00,22.9162816485,DI,300,104.100694444,KIT 5,0,0,,0,0,train
11160,2015-01-01T00:00:00,48.0009856465,CI,150,87.6791590395,KIT 4,1,0,6.18493192879,1,0,train
11170,2015-01-01T00:00:00,48.0009856465,DI,150,195.894075005,KIT 4,1,0,15.2446662149,1,0,train
11180,2015-01-01T00:00:00,13.727865733,DI,300,108.261412272,KIT 4,0,0,,0,0,train
1120,2015-01-01T00:00:00,41.9994934872,DI,150,19.6396686653,KIT 5,1,1,0.859702800194,1,0,train
11210,2015-01-01T00:00:00,37.0000752924,DI,300,78.4586779624,KIT 4,0,0,,0,0,train
11220,2015-01-01T00:00:00,37.0000752924,DI,300,60.8992443033,KIT 4,0,0,,0,0,train
11230,2015-01-01T00:00:00,37.0000752924,DI,300,63.0557048392,KIT 4,0,0,,0,0,train
11240,2015-01-01T00:00:00,36.0007392349,CPP,750,173.818584529,KIT 4,0,0,,0,0,train
11250,2015-01-01T00:00:00,28.999911018,DI,150,52.9579213471,KIT 4,0,0,,0,0,train
11260,2015-01-01T00:00:00,36.0007392349,CPP,750,6.10657115098,KIT 4,0,0,,0,0,train
11290,2015-01-01T00:00:00,49.5862338036,DI,300,182.882393706,KIT 4,0,0,,0,0,train
1130,2015-01-01T00:00:00,41.9994934872,DI,200,111.464425858,KIT 5,0,0,,0,0,train
11310,2015-01-01T00:00:00,32.9999931552,DI,300,74.2595365418,KIT 4,0,0,,0,0,train
11320,2015-01-01T00:00:00,32.9999931552,DI,300,66.0589169637,KIT 4,0,0,,0,0,train
11340,2015-01-01T00:00:00,28.58648706,DI,300,167.365964622,KIT 4,0,0,,0,0,train
11350,2015-01-01T00:00:00,28.58648706,DI,300,74.3398826507,KIT 4,0,0,,0,0,train
11360,2015-01-01T00:00:00,28.58648706,DI,300,46.9744648908,KIT 4,0,0,,0,0,train
11380,2015-01-01T00:00:00,28.58648706,DI,300,72.3969429629,KIT 4,0,0,,0,0,train
1140,2015-01-01T00:00:00,41.9994934872,DI,150,20.0373208789,KIT 5,0,0,,0,0,train
11400,2015-01-01T00:00:00,28.58648706,DI,300,157.427282018,KIT 4,0,0,,0,0,train
11420,2015-01-01T00:00:00,28.58648706,DI,300,71.4695940489,KIT 4,0,0,,0,0,train
11440,2015-01-01T00:00:00,28.58648706,DI,200,134.763728172,KIT 4,0,0,,0,0,train
11470,2015-01-01T00:00:00,61.9999041733,CI,150,218.159313482,KIT 4,0,0,,0,0,train
11480,2015-01-01T00:00:00,65.9999863105,CI,150,260.580626335,KIT 4,1,1,1.78237746155,1,0,train
11490,2015-01-01T00:00:00,65.0006502529,CI,150,129.24788279,KIT 4,0,0,,0,0,train
1150,2015-01-01T00:00:00,41.9994934872,DI,150,166.873884365,KIT 5,0,0,,0,0,train
11510,2015-01-01T00:00:00,65.0006502529,CI,200,280.79132349,KIT 4,0,0,,0,0,train
11530,2015-01-01T00:00:00,64.5844883879,CI,150,110.334753569,KIT 4,0,0,,0,0,train
11540,2015-01-01T00:00:00,31.0013210401,DI,300,8.0551227191,KIT 4,0,0,,0,0,train
11550,2015-01-01T00:00:00,65.9999863105,CI,150,43.8927209864,KIT 4,0,0,,0,0,train
11560,2015-01-01T00:00:00,60.0012320582,CI,150,85.5907842217,KIT 4,0,0,,0,0,train
11570,2015-01-01T00:00:00,65.9999863105,CI,150,116.040482606,KIT 4,0,0,,0,0,train
11580,2015-01-01T00:00:00,65.9999863105,CI,150,36.4261549488,KIT 4,0,0,,0,0,train
