table,original_field,field,rows,raw_blank_count,normalized_missing_count
assets,OBJECTID,source_object_id,16214,0,0
assets,WATMAINID,asset_id,16214,0,0
assets,STATUS,status,16214,0,0
assets,PRESSURE_ZONE,pressure_zone,16214,0,0
assets,ROADSEGMENTID,road_segment_id,16214,0,0
assets,MAP_LABEL,map_label,16214,0,0
assets,CATEGORY,category,16214,0,0
assets,PIPE_SIZE,pipe_size,16214,0,2
assets,MATERIAL,material,16214,0,1
assets,LINED,lined,16214,0,0
assets,LINED_DATE,lined_date,16214,16160,16160
assets,LINED_MATERIAL,lined_material,16214,0,0
assets,INSTALLATION_DATE,installation_date,16214,0,0
assets,ACQUISITION,acquisition,16214,1,1
assets,CONSULTANT,consultant,16214,11102,11102
assets,OWNERSHIP,ownership,16214,0,0
assets,BRIDGE_MAIN,bridge_main,16214,0,0
assets,BRIDGE_DETAILS,bridge_details,16214,16206,16206
assets,CRITICALITY,criticality,16214,0,3049
assets,REL_CLEANING_AREA,rel_cleaning_area,16214,0,0
assets,REL_CLEANING_SUBAREA,rel_cleaning_subarea,16214,0,0
assets,Undersized,undersized,16214,0,0
assets,Shallow Main,shallow_main,16214,0,0
assets,Condition Score,condition_score,16214,0,484
assets,OVERSIZED,oversized,16214,0,0
assets,CLEANED,cleaned,16214,0,0
assets,Shape__Length,length_m,16214,0,0
events,OBJECTID,source_object_id,3020,0,0
events,Wat Break Incident ID,event_id,3020,0,0
events,Incident date,incident_date,3020,0,0
events,Type of Asset Broken,asset_type,3020,0,0
events,Does the road need to be closed?,road_closure,3020,2454,2454
events,Does the sidewalk need to be closed?,sidewalk_closure,3020,2457,2457
events,Estimated Hours for Repair,estimated_repair_hours,3020,2456,2456
events,Estimated Number of Units Impacted,estimated_units_impacted,3020,2469,2469
events,CW Service Request Number,cw_service_request_number,3020,2995,2995
events,Current status of the break,break_status,3020,0,0
events,Status last updated date,status_updated_date,3020,150,150
events,CW Workorder #,cw_workorder_number,3020,1168,1168
events,Date operations was returned to normal service,normal_service_date,3020,2914,2914
events,Nature of Break,break_nature,3020,330,330
events,Apparent cause of break,break_cause,3020,462,462
events,Repair Type,repair_type,3020,2764,2764
events,Type of Planned Maintenance,planned_maintenance_type,3020,3019,3019
events,List Valves Closed,valves_closed,3020,3017,3017
events,List Valves Opened,valves_opened,3020,3018,3018
events,List Hydrants Called Out,hydrants_called_out,3020,2969,2969
events,List Hydrants Called Back In,hydrants_called_back_in,3020,2980,2980
events,Categorization of the Break,break_category,3020,317,317
events,Road Segment ID,road_segment_id,3020,0,0
events,Closest Civic Number,closest_civic_number,3020,92,92
events,Street,street,3020,10,10
events,Related Asset ID,related_asset_id,3020,0,0
events,Related Asset Depth (m),asset_depth_m,3020,3005,3005
events,Depth of Frost (m),frost_depth_m,3020,2938,2938
events,Asset Size (cm),asset_size_reported,3020,323,323
events,Year Asset Installed,reported_installation_year,3020,327,327
events,Asset Material,asset_material,3020,323,323
events,Asset Exists,asset_exists,3020,0,0
events,GLOBALID,global_id,3020,0,0
events,UPDATE_BY,update_by,3020,573,573
events,UPDATE_DATE,update_date,3020,573,573
events,x,x,3020,0,0
events,y,y,3020,0,0
